MAA ahmed,5870 no more levels﻿,3 weeks ago,0,No video
osman çoban,45 levels are not enough for me to ask for more levels﻿,3 weeks ago,0,No video
Bhumika Pawar,Fabulous﻿,3 weeks ago,0,No video
Loup Renault,🌈Je suis vraiment dingue de ce jeu🤩😜 😂🤪🤣🤯😤🤫﻿,1 month ago,0,No video
Shea Jackman,🤤🤤🤤﻿,1 month ago,0,No video
Sima Sahoo,Omg﻿,1 month ago,0,No video
tyler finch,SWEET﻿,1 month ago,0,No video
Fausto Alves Dos Santos,👍🎂🎂🎂❣﻿,1 month ago,0,No video
K13rAnW3AvEr05,Bring back the old candy crush map design where things where mysterious it was so much better﻿,1 month ago,0,No video
bigfacehunter Beven,😋﻿,1 month ago,0,No video
bigfacehunter Beven,"OMG, I wanna eat it.😋﻿",1 month ago,0,No video
القناعة كنز لا يفني,J'aime trop ce jeu 😊🤩💞💖💖💝💝❤❤🥰﻿,1 month ago,0,No video
uni kitty cats camanzo,OMG  !!!!!!  \(❤w❤)/﻿,1 month ago,0,No video
Kolampi Music 5.1,മധുരമൂറും ക്യാൻഡിസ് 🍭🍭🍭🍬🍬🍬🍬🍡🍡🍡🍡🍩🍩🍩﻿,1 month ago,0,No video
Filipa Castelo Branco,I love﻿,1 month ago,0,No video
Hakeem Johnson,Fully candy😍😍😍﻿,1 month ago,0,No video
Sakthi Ammu,Good﻿,1 month ago,0,No video
Chetan Sharma,Good﻿,1 month ago,0,No video
abhi n,Wow﻿,1 month ago,0,No video
Antonia Ignacio,Cool 😎 I'll try 😲﻿,1 month ago,0,No video
AM vs PM,Awesome﻿,1 month ago,0,No video
Linda Ward,No I missed ou﻿,1 month ago,0,No video
Alejandro Flores Ramos,Gracias yo tengo candy crush﻿,1 month ago,0,No video
Senzo Benedict,High blood﻿,1 month ago,0,No video
osman çoban,5825 İraq﻿,1 month ago,0,No video
Hasta Magar,wow﻿,1 month ago,0,No video
Isabel Mendivil,Yummy﻿,1 month ago,0,No video
Bablu Yadav,Super﻿,1 month ago,0,No video
Game Play356,Sweet﻿,1 month ago,0,No video
Vijay Waghdhare,Good﻿,1 month ago,0,No video
Rimlye Arrie,Tasty🍰🍰🍰﻿,1 month ago,0,No video
manuel gonzales,¡Delicious!﻿,1 month ago,0,No video
yousuf basha,so cute﻿,1 month ago,0,No video
Tania Tania,Wow﻿,1 month ago,0,No video
Yash Barochia,Sugar Crush 🍬🍬﻿,1 month ago,0,No video
Reyhan ramadhan,Enak banget﻿,1 month ago,0,No video
Tusharkanta Martha,I like it too much...﻿,1 month ago,3,https://youtube.com/watch?v=MoywXRdQ-Ic
Magali Marcelin,écran noir! que faire !?﻿,1 month ago,1,https://youtube.com/watch?v=MoywXRdQ-Ic
Mohamad Samara,حلوه كتير بتجنن بس نفسي اتزيدو ارواح والوقت في المرحله الصعبه كتير قليل يعني ما معي ارواح ولا مساعدات كلها استخدمتها الرجاء الإهتمام وشكرا لكم﻿,1 month ago,1,https://youtube.com/watch?v=MoywXRdQ-Ic
il kouraoui mohamed,خوتي عفكم عونن نوصل 100 جيم في القنات إديالي  أشكراا﻿,1 month ago,1,https://youtube.com/watch?v=MoywXRdQ-Ic
GitMaster,Candy crush is a wonderful mobile app﻿,1 week ago,0,https://youtube.com/watch?v=MoywXRdQ-Ic
pedro Aguirre suria,Verygoood﻿,3 weeks ago,0,https://youtube.com/watch?v=MoywXRdQ-Ic
Eldor Jumanazarov,2951 помоги меня﻿,4 weeks ago,0,https://youtube.com/watch?v=MoywXRdQ-Ic
Isabel Mendivil,I love cakes﻿,1 month ago,2,No video
Erick D,5690 niveles 🇲🇽﻿,1 month ago,2,No video
Mercedes Santillan Sosa,I Love Tiffi❤️﻿,1 month ago,2,No video
Panda Marbun,Wow completed level 5780 🇮🇩﻿,1 month ago,1,No video
D Trombett,Ok﻿,1 month ago,1,No video
Venu Pawanisam Pawanisam,My leval 5690...🇮🇳🇮🇳🇮🇳🇮🇳﻿,1 month ago,1,No video
